rank	gene_id	score_hamlin	tpm_29wtHC83	tpm_1416wtCC547	tpm_1416wtCC54	tpm_1416G-19CC547	tpm_1416G-30CC547	n_same_ath_hit	refseq_description	em_preferred_name	ath_symbol	ath_agi	ath_rbh	ath_pident	em_cog_category	em_pfam
1	gene-LOC102607844	1.0000	10840.8	798.2	479.0	409.5	385.1	1	protein SRC1-like		AT1G54410	AT1G54410	1	60.3	S	
2	gene-CYP	1.0000	8986.2	11373.0	15266.4	6719.0	7439.5	1	peptidyl-prolyl cis-trans isomerase-like	ROC1	ROC3	AT2G16600	1	86.5	O	Pro_isomerase
3	gene-LOC127902716	0.9999	8565.8	4127.3	8805.4	2160.3	3364.2	0	extensin-3						S	Extensin_2
4	gene-LOC102618061	0.9999	7727.1	3370.8	2505.3	1806.3	1647.5	3	polyubiquitin 11		UBQ11	AT4G05050	1	100	O	ubiquitin
5	gene-LOC102617427	0.9998	6896.3	7231.0	6988.8	4852.6	5333.4	1	metallothionein-like protein type 2	MT2A	MT2A	AT3G09390	1	63.0	S	Metallothio_2
6	gene-LOC102621613	0.9998	6805.7	10472.9	7287.7	15484.4	18961.1	10	major allergen Pru ar 1		MLP423	AT1G24020	0	38.5	S	Bet_v_1
7	gene-LOC102620682	0.9997	6496.5	8507.7	4864.1	7663.5	16208.9	0	uncharacterized LOC102620682							
8	gene-LOC102578039	0.9997	6004.5	616.4	0.4	105.9	13.2	2	early light-induced protein 1, chloroplastic	ELIP	ELIP1	AT3G22840	1	60.8	S	Chloroa_b-bind
9	gene-LOC102618921	0.9997	5833.5	1324.7	846.8	89.2	408.4	2	aquaporin PIP1-2		PIP1;4	AT4G00430	0	87.5	G	MIP
10	gene-DHN	0.9996	5164.7	2408.9	1779.4	1314.3	2502.9	1	dehydrin		ERD14	AT1G76180	1	44.1	S	Dehydrin
11	gene-LOC102617645	0.9996	4164.4	1648.7	2575.3	718.3	768.4	1	adenosylhomocysteinase		HOG1	AT4G13940	1	90.7	H	AdoHcyase,AdoHcyase_NAD
12	gene-LOC102629769	0.9995	4049.8	2057.7	3588.0	898.4	702.5	4	extensin-like		AT3G22142	AT3G22142	1	80.0	S	Hydrophob_seed
13	gene-LOC102622181	0.9995	4021.0	780.6	885.3	74.0	350.2	1	probable aquaporin PIP2-5		PIP2;5	AT3G54820	1	86.1	G	MIP
14	gene-LOC102626542	0.9994	3980.0	876.4	413.0	544.6	553.7	0	major latex allergen Hev b 5-like							
15	gene-LOC102616710	0.9994	3822.4	1719.7	992.8	863.0	1127.4	1	aquaporin PIP1-2		PIP1;5	AT4G23400	0	87.4	G	MIP
16	gene-LOC102623961	0.9994	3641.5	8.3	524.1	154.4	0.6	17	kunitz trypsin inhibitor 5-like		AT1G17860	AT1G17860	0	34.6	S	Kunitz_legume
17	gene-LOC102622469	0.9993	3436.9	3546.2	3869.5	2123.4	2744.3	2	60S ribosomal protein L27	RPL27	AT4G15000	AT4G15000	1	85.2	J	KOW,Ribosomal_L27e
18	gene-LOC102627738	0.9993	3390.0	1348.2	1442.8	72.9	301.2	0	extensin-3-like						S	Extensin_2
19	gene-LOC102628665	0.9992	3237.2	2129.5	2308.0	4906.3	5127.5	1	glycine-rich RNA-binding protein-like	GRP1	GRP7	AT2G21660	1	81.1	A	RRM_1
20	gene-LOC102630124	0.9992	3039.6	2895.3	2675.0	736.6	654.8	1	aquaporin TIP1-1		GAMMA-TIP	AT2G36830	1	82.9	G	MIP
