rank	gene_id	score_carrizo_eng	tpm_29wtHC83	tpm_1416wtCC547	tpm_1416wtCC54	tpm_1416G-19CC547	tpm_1416G-30CC547	n_same_ath_hit	refseq_description	em_preferred_name	ath_symbol	ath_agi	ath_rbh	ath_pident	em_cog_category	em_pfam
1	gene-LOC102620812	1.0000	736.8	6649.8	2627.3	36071.4	33416.7	4	inhibitor of trypsin and hageman factor-like		AT2G38870	AT2G38870	1	59.7	S	potato_inhibit
2	gene-LEA5	1.0000	2434.9	12873.3	6646.5	24017.9	38437.0	2	late embryogenesis abundant protein Lea5-like	LEA5	SAG21	AT4G02380	0	45.8	S	LEA_3
3	gene-LOC102621613	0.9999	6805.7	10472.9	7287.7	15484.4	18961.1	10	major allergen Pru ar 1		MLP423	AT1G24020	0	38.5	S	Bet_v_1
4	gene-LOC102631364	0.9998	19.3	3338.8	27.8	9065.5	8306.7	17	21 kDa seed protein-like		AT1G17860	AT1G17860	0	39.1	S	Kunitz_legume
5	gene-LOC102620682	0.9998	6496.5	8507.7	4864.1	7663.5	16208.9	0	uncharacterized LOC102620682							
6	gene-LOC102614003	0.9998	1206.9	3357.8	2372.3	10057.3	8024.0	1	translationally-controlled tumor protein homolog		TCTP	AT3G16640	1	81.0	DZ	TCTP
7	gene-CYP	0.9997	8986.2	11373.0	15266.4	6719.0	7439.5	1	peptidyl-prolyl cis-trans isomerase-like	ROC1	ROC3	AT2G16600	1	86.5	O	Pro_isomerase
8	gene-LOC102628172	0.9997	218.1	502.5	62.2	6221.6	5703.8	4	endochitinase-like		HCHIB	AT3G12500	0	56.4	U	Chitin_bind_1,Glyco_hydro_19
9	gene-LOC102608938	0.9996	614.2	3090.5	1763.9	5838.2	5279.3	3	dnaJ protein homolog		J3	AT3G44110	0	80.7	O	DnaJ,DnaJ_C,DnaJ_CXXCXGXG
10	gene-LOC102617427	0.9996	6896.3	7231.0	6988.8	4852.6	5333.4	1	metallothionein-like protein type 2	MT2A	MT2A	AT3G09390	1	63.0	S	Metallothio_2
11	gene-LOC102628665	0.9996	3237.2	2129.5	2308.0	4906.3	5127.5	1	glycine-rich RNA-binding protein-like	GRP1	GRP7	AT2G21660	1	81.1	A	RRM_1
12	gene-LOC102616437	0.9994	855.5	1710.4	2033.1	3653.8	3305.4	1	dormancy-associated protein 1		DYL1	AT1G28330	1	69.0	S	Auxin_repressed
13	gene-LOC127898580	0.9994	490.9	1426.1	1108.2	3485.9	3621.5	8	ubiquitin-conjugating enzyme E2 28		UBC10	AT5G53300	0	98.0	O	UQ_con
14	gene-LOC102624646	0.9994	2253.2	2769.4	2267.1	3879.3	3293.6	2	thioredoxin H-type		TRX1	AT3G51030	1	85.8	O	Thioredoxin
15	gene-LOC102626594	0.9994	281.5	326.9	123.7	2874.8	3303.9	2	thiamine thiazole synthase, chloroplastic-like	THI1	THI1	AT5G54770	1	80.7	H	Thi4
16	gene-LOC102621144	0.9993	1777.7	2424.7	2310.3	2797.0	3089.3	1	60S ribosomal protein L26-1		AT3G49910	AT3G49910	1	90.4	J	KOW,Ribosomal_L26
17	gene-LOC102617911	0.9993	281.8	853.2	506.8	3501.6	2911.3	1	vesicle-associated membrane protein 721		VAMP721	AT1G04750	0	82.6	U	Longin,Synaptobrevin
18	gene-LOC102630849	0.9991	832.5	1508.0	1427.4	2512.6	2613.9	3	eukaryotic translation initiation factor 5A-2	EIF5A	ELF5A-1	AT1G13950	1	86.8	J	eIF-5a
19	gene-LOC127902716	0.9990	8565.8	4127.3	8805.4	2160.3	3364.2	0	extensin-3						S	Extensin_2
20	gene-LOC102622469	0.9990	3436.9	3546.2	3869.5	2123.4	2744.3	2	60S ribosomal protein L27	RPL27	AT4G15000	AT4G15000	1	85.2	J	KOW,Ribosomal_L27e
