rank	gene_id	score_carrizo_wt	tpm_29wtHC83	tpm_1416wtCC547	tpm_1416wtCC54	tpm_1416G-19CC547	tpm_1416G-30CC547	n_same_ath_hit	refseq_description	em_preferred_name	ath_symbol	ath_agi	ath_rbh	ath_pident	em_cog_category	em_pfam
1	gene-CYP	1.0000	8986.2	11373.0	15266.4	6719.0	7439.5	1	peptidyl-prolyl cis-trans isomerase-like	ROC1	ROC3	AT2G16600	1	86.5	O	Pro_isomerase
2	gene-LOC102621613	0.9999	6805.7	10472.9	7287.7	15484.4	18961.1	10	major allergen Pru ar 1		MLP423	AT1G24020	0	38.5	S	Bet_v_1
3	gene-LEA5	0.9998	2434.9	12873.3	6646.5	24017.9	38437.0	2	late embryogenesis abundant protein Lea5-like	LEA5	SAG21	AT4G02380	0	45.8	S	LEA_3
4	gene-LOC102617427	0.9998	6896.3	7231.0	6988.8	4852.6	5333.4	1	metallothionein-like protein type 2	MT2A	MT2A	AT3G09390	1	63.0	S	Metallothio_2
5	gene-LOC102620682	0.9997	6496.5	8507.7	4864.1	7663.5	16208.9	0	uncharacterized LOC102620682							
6	gene-LOC127902716	0.9997	8565.8	4127.3	8805.4	2160.3	3364.2	0	extensin-3						S	Extensin_2
7	gene-LOC102622469	0.9997	3436.9	3546.2	3869.5	2123.4	2744.3	2	60S ribosomal protein L27	RPL27	AT4G15000	AT4G15000	1	85.2	J	KOW,Ribosomal_L27e
8	gene-LOC127900537	0.9994	2218.3	3536.9	2685.0	858.9	184.1	3	non-specific lipid-transfer protein 2-like		AT3G18280	AT3G18280	1	68.1	S	LTP_2
9	gene-LOC102630124	0.9994	3039.6	2895.3	2675.0	736.6	654.8	1	aquaporin TIP1-1		GAMMA-TIP	AT2G36830	1	82.9	G	MIP
10	gene-LOC102620812	0.9993	736.8	6649.8	2627.3	36071.4	33416.7	4	inhibitor of trypsin and hageman factor-like		AT2G38870	AT2G38870	1	59.7	S	potato_inhibit
11	gene-LOC102614737	0.9993	2046.3	2439.2	3535.6	659.1	1022.9	3	glutathione S-transferase F6	GSTF2	GSTF8	AT2G47730	1	63.3	O	GST_C,GST_N
12	gene-LOC102618061	0.9992	7727.1	3370.8	2505.3	1806.3	1647.5	3	polyubiquitin 11		UBQ11	AT4G05050	1	100	O	ubiquitin
13	gene-LOC102614003	0.9991	1206.9	3357.8	2372.3	10057.3	8024.0	1	translationally-controlled tumor protein homolog		TCTP	AT3G16640	1	81.0	DZ	TCTP
14	gene-LOC102621144	0.9990	1777.7	2424.7	2310.3	2797.0	3089.3	1	60S ribosomal protein L26-1		AT3G49910	AT3G49910	1	90.4	J	KOW,Ribosomal_L26
15	gene-LOC102625746	0.9990	2562.7	2345.6	2590.2	1596.0	1756.2	2	ubiquitin-40S ribosomal protein S27a		UBQ6	AT2G47110	1	96.1	J	Ribosomal_S27,ubiquitin
16	gene-LOC102624646	0.9989	2253.2	2769.4	2267.1	3879.3	3293.6	2	thioredoxin H-type		TRX1	AT3G51030	1	85.8	O	Thioredoxin
17	gene-LOC102628665	0.9989	3237.2	2129.5	2308.0	4906.3	5127.5	1	glycine-rich RNA-binding protein-like	GRP1	GRP7	AT2G21660	1	81.1	A	RRM_1
18	gene-LOC102629769	0.9988	4049.8	2057.7	3588.0	898.4	702.5	4	extensin-like		AT3G22142	AT3G22142	1	80.0	S	Hydrophob_seed
19	gene-LOC102614671	0.9987	1278.7	2363.7	1928.7	1593.5	1630.0	1	60S ribosomal protein L8-1		EMB2296	AT2G18020	1	92.6	J	Ribosomal_L2,Ribosomal_L2_C
20	gene-LOC102618706	0.9986	1303.1	2400.7	1912.4	1795.3	1892.0	2	60S ribosomal protein L27a-3-like		AT1G70600	AT1G70600	0	87.0	J	Ribosomal_L27A
